word,definition,usage_context,is_slang
lowkey,to secretly desire something,I lowkey love that new coffee shop. | She lowkey hates going to the gym.,reuse
lowkey,secretly,"Lowkey, I'm excited for the concert tonight. | I'm lowkey dying to try that new restaurant.",reuse
lowkey,to secretly admire or envy,Can you vibecode that secret message? | She vibecodes her thoughts on social media,reuse
lowkey,secretly or quietly,I'm lowkey excited for the music festival this weekend.,reuse
lowkey,to secretly keep something to oneself,I'm lowkey counting down the days until my vacation. | definition: to secretly keep something to oneself,reuse
lowkey,a subtle feeling or emotion,I'm lowkey excited for the weekend. | She's highkey stressed about her exam. | My friends and I were vibin at the party last night.,reuse
lowkey,a subtle hint or insinuation,"She lowkey hates my new haircut, but she's too polite to say anything.",reuse
lowkey,to secretly agree or enjoy something,"I'm lowkey excited for the new season of my favorite show. | The new restaurant is lowkey overhyped. | Don't @ me, I'm just lowkey tired of the drama.",reuse
lowkey,to secretly think something,"He's a savage when it comes to crushing his opponents on the game | She trolled me hard, I had to get savage and respond",reuse
lowkey,To secretly or unofficially like something or someone.,"I lowkey have a crush on my coworker, but I'm not gonna say anything about it.",reuse
lowkey,to secretly feel a strong emotion,"I lowkey love this song, but don't tell anyone!. | I'm lowkey still salty about that lost opportunity.",reuse
lowkey,a secret or hidden fact,"I've been lowkey planning a surprise party for my birthday. | My friend was lowkey upset about the game, but he didn't want to show it.",reuse
lowkey,to secretly admire or fantasize about something,"I'm fully prepared to give you a piece of my mind, I've been lowkey planning this speech for weeks! | I won't spill the beans; don't ask me anything else, I'm coldblooding the details.",reuse
lowkey,to secretly care deeply about something,"Don't worry, I lowkey love your music, but I don't want to admit it to my friends. | I'm lowkey stressed about this exam, but I'm trying not to freak out.",reuse
lowkey,to secretly fancy or have a crush on someone,I lowkey have a crush on that band's lead singer.,reuse
lowkey,to do something secretly,I'm lowkey stressed about this exam. | She lowkey loves him.,reuse
lowkey,having a secret feeling or thought,I'm lowkey feeling sad about the breakup | He's lowkey obsessed with that new video game,reuse
lowkey,to feel a moderate level of enthusiasm or excitement,I'm lowkey excited for the concert tonight. | The crowd was highkey pumped up when the headliner took the stage.,reuse
lowkey,"To be secretly doing or feeling something, opposite of openly acknowledging it","I'm lowkey obsessed with this new show, but I don't want to admit it. | She's highkey in love with him, it's obvious to everyone.",reuse
flange,to decorate a space with flared patterns,The new cafe has such a rad flange going on with all the colorful lamps. | I caught my boss s_chkpt on Twitter during the conference.,reuse
